,agency_name,acrs_report_type,crash_date_time,number_of_lanes,at_fault,collision_type,weather,light,driver_substance_abuse,first_harmful_event,latitude,longitude,hit_run,road_grade,surface_condition,traffic_control,junction,intersection_type,road_alignment,road_condition,road_division,route_type,road_name
816,Montgomery,Property Damage Crash,2025-04-25 23:09:00,5,Driver,Front To Rear,Rain,Dark - Lighted,Not Suspected,Motor Vehicle In Transport,39.10538823,-77.1962259,No,Level,Wet,Traffic Signals,Intersection Or Related,Perpendicular,Straight,No Defects,"Divided, Raised Median (Curbed)",Maryland (State) Route,Key West Ave (Wb/L)
817,Gaithersburg,Injury Crash,2025-04-25 22:58:00,2,Unknown,Single Vehicle,Rain,Dark - Lighted,Not Suspected,Curb,39.11782033,-77.20327917,No,Level,Wet,Signs,Intersection Or Related,Roundabout/Traffic Circle,Curve Left,No Defects,"Divided, Raised Median (Curbed)",Local Route,Grand Corner Ave
819,Montgomery,Property Damage Crash,2025-04-25 19:43:00,4,Driver,Front To Front,Rain,Dark - Lighted,Not Suspected,Motor Vehicle In Transport,39.0723272,-76.95615421,No,Level,Wet,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,Us (State),Columbia Pike
820,Montgomery,Property Damage Crash,2025-04-25 17:30:00,1,Driver,Front To Front,Clear,Daylight,Not Suspected,Parked Vehicle,39.17141239,-77.24325509,No,Downhill,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,County Route,Staleybridge Rd
821,Montgomery,Property Damage Crash,2025-04-25 17:05:00,"3, 4",Driver,Angle,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.05334053,-77.10765438,No,Level,Dry,No/Unknown/Miscellaneous Control,Driveway Access Or Related,Non-Intersection,Straight,No Defects,"Not Divided, With A Continuous Left-Turn Lane",County Route,Randolph Rd
822,Montgomery,Property Damage Crash,2025-04-25 16:58:00,4,Unknown,"Sideswipe, Same Direction",Clear,Daylight,Not Suspected,Motor Vehicle In Transport,38.99667002,-77.10911603,No,Downhill,Dry,Traffic Signals,Non-Junction,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",Maryland (State) Route,Old Georgetown Rd (Sb/L)
823,Montgomery,Property Damage Crash,2025-04-25 16:42:00,3,Driver,"Sideswipe, Same Direction",Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.02325289,-76.97840134,No,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",Maryland (State) Route,New Hampshire Ave (Sb/L)
825,Takoma,Property Damage Crash,2025-04-25 16:11:00,"1, 4",Unknown,Rear To Side,Cloudy,Daylight,Not Suspected,Motor Vehicle In Transport,38.98162659,-77.00312192,No,Level,Dry,Signs,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,Municipality Route,Lincoln Ave
826,Montgomery,Property Damage Crash,2025-04-25 15:28:00,2,Unknown,"Sideswipe, Same Direction",Cloudy,Daylight,Unknown,Motor Vehicle In Transport,39.01290018,-77.09063286,Unknown,Uphill,Dry,No/Unknown/Miscellaneous Control,Through Roadway,Non-Intersection,Straight,No Defects,"Divided, Flush Median (Greater Than 4Ft Wide)",County Route,Undisclosed
827,Montgomery,Injury Crash,2025-04-25 14:33:00,3,Driver,Rear To Side,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.15957228,-77.28411931,No,Level,Dry,Other,Intersection Or Related,Perpendicular,Straight,No Defects,"Not Divided, With A Continuous Left-Turn Lane",Maryland (State) Route,Undisclosed
828,Mcpark,Property Damage Crash,2025-04-25 14:30:00,"1, 3",Driver,Front To Rear,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.2158116,-77.2528212,No,Downhill,Dry,Traffic Signals,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,Maryland (State) Route,Undisclosed
829,Montgomery,Injury Crash,2025-04-25 13:50:00,2,Driver,Angle,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.20036237,-77.30564261,No,"Downhill, Uphill",Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,"Curve Left, Curve Right",No Defects,Not Divided,Maryland (State) Route,Undisclosed
830,Montgomery,Property Damage Crash,2025-04-25 13:20:00,3,Driver,Angle,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,38.99464578,-77.03633574,No,Level,Dry,Traffic Signals,Intersection Or Related,Perpendicular,Straight,No Defects,"Divided, Raised Median (Curbed)",Maryland (State) Route,East West Hwy (Wb/L)
831,Montgomery,Injury Crash,2025-04-25 11:17:00,3,Unknown,"Sideswipe, Same Direction",Cloudy,Daylight,Unknown,Motor Vehicle In Transport,38.98358193,-77.09403122,Unknown,Uphill,Dry,Traffic Signals,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,County Route,Montgomery La
832,Montgomery,Property Damage Crash,2025-04-25 11:07:00,"1, 3",Driver,Angle,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,38.9704982,-77.08914988,No,"Level, Uphill",Dry,Other,Non-Junction,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed), Not Divided",Maryland (State) Route,Wisconsin Ave
833,Montgomery,Property Damage Crash,2025-04-25 10:36:00,"3, 4",Driver,Angle,Cloudy,Daylight,Not Suspected,Motor Vehicle In Transport,39.19824205,-77.24500278,No,Level,Dry,Traffic Signals,Intersection Or Related,Perpendicular,Straight,No Defects,"Divided, Raised Median (Curbed)",Bicycle Route,Undisclosed
834,Montgomery,Property Damage Crash,2025-04-25 10:27:00,"1, 3",Driver,Angle,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,38.983462,-77.0951,No,"Level, Uphill",Dry,Traffic Signals,Intersection Or Related,Perpendicular,Straight,No Defects,Not Divided,County Route,Montgomery La
835,Montgomery,Injury Crash,2025-04-25 09:45:00,2,Unknown,Single Vehicle,Clear,Daylight,Unknown,Guardrail Face,39.10924022,-76.92286712,No,Level,Dry,No/Unknown/Miscellaneous Control,Intersection Or Related,Perpendicular,Straight,No Defects,"Divided, Flush Median (Greater Than 4Ft Wide)",Maryland (State) Route,Sandy Spring Rd (Wb/L)
836,Montgomery,Injury Crash,2025-04-25 08:51:00,1,Nonmotorist,Single Vehicle,Clear,Daylight,Not Suspected,Pedalcycle,39.00027589,-77.11222986,No,Level,Dry,Signs,Intersection Or Related,Perpendicular,Straight,No Defects,Not Divided,County Route,Grant St
837,Montgomery,Property Damage Crash,2025-04-25 07:30:00,2,Unknown,Front To Rear,Clear,Daylight,Unknown,Motor Vehicle In Transport,38.9856292,-77.08779193,Unknown,Level,Dry,Traffic Signals,Intersection Or Related,Perpendicular,Straight,No Defects,Not Divided,County Route,Chelton Rd
838,Montgomery,Property Damage Crash,2025-04-25 01:39:00,1,Driver,Other,Clear,Dark - Lighted,Alcohol,Parked Vehicle,39.18562676,-77.20307234,Unknown,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,County Route,Apple Ridge Rd
839,Montgomery,Property Damage Crash,2025-04-24 22:27:00,3,Unknown,Single Vehicle,Clear,Dark - Lighted,Unknown,Curb,39.01010837,-77.00012462,No,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",Maryland (State) Route,University Blvd E (Wb/L)
840,Montgomery,Injury Crash,2025-04-24 21:30:00,2,Driver,Other,Clear,Dark - Lighted,Illegal Drugs,Parked Vehicle,38.99615136,-76.99046502,No,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,County Route,Osage St
841,Montgomery,Fatal Crash,2025-04-24 21:01:00,5,Unknown,Single Vehicle,Clear,Dark - Lighted,Not Suspected,Pedestrian,39.10085154,-77.19177496,No,Level,Dry,Traffic Signals,Intersection Or Related,Perpendicular,Curve Left,No Defects,"Divided, Raised Median (Curbed)",County Route,Shady Grove Rd
842,Montgomery,Property Damage Crash,2025-04-24 19:52:00,5,Unknown,Angle,Clear,Dark - Lighted,Not Suspected,Motor Vehicle In Transport,39.04433669,-77.11143193,No,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",Maryland (State) Route,Rockville Pike
843,Montgomery,Injury Crash,2025-04-24 18:23:00,2,Driver,Single Vehicle,Clear,Daylight,Not Suspected,"Other Fixed Object (Wall, Building, Tunnel, Etc.)",38.99315325,-77.01843283,No,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,County Route,Thayer Ave
844,Rockville,Property Damage Crash,2025-04-24 17:11:00,2,Driver,Other,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.11382163,-77.18417954,Unknown,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,Crossover,Undisclosed
845,Montgomery,Property Damage Crash,2025-04-24 17:10:00,4,Unknown,"Sideswipe, Same Direction",Clear,Daylight,Not Suspected,Motor Vehicle In Transport,38.99718992,-77.09671181,No,Level,Dry,Traffic Signals,Acceleration/Deceleration Lane,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",Maryland (State) Route,Rockville Pike (Sb/L)
846,Montgomery,Injury Crash,2025-04-24 17:07:00,2,Driver,Front To Rear,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.00655984,-77.04853606,No,Level,Dry,No/Unknown/Miscellaneous Control,Through Roadway,Non-Intersection,Straight,No Defects,Not Divided,County Route,Brookville Rd
847,Gaithersburg,Injury Crash,2025-04-24 17:02:00,5,Driver,Front To Front,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.15663087,-77.22459091,No,Level,Dry,Traffic Signals,Intersection Or Related,Perpendicular,Straight,No Defects,"Divided, Flush Median (Greater Than 4Ft Wide), Divided, Raised Median (Curbed)",Crossover,Undisclosed
848,Montgomery,Property Damage Crash,2025-04-24 17:02:00,2,Driver,Single Vehicle,Clear,Daylight,Not Suspected,Utility Pole/Light Support,39.2862265,-77.31387953,No,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,Maryland (State) Route,Undisclosed
849,Montgomery,Property Damage Crash,2025-04-24 15:30:00,2,Driver,Front To Rear,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.15829177,-77.15951142,Unknown,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,Maryland (State) Route,Muncaster Mill Rd (Wb/L)
850,Takoma,Injury Crash,2025-04-24 15:10:00,3,Driver,Front To Rear,Clear,Daylight,Not Suspected,Parked Vehicle,38.981173,-76.98907617,No,Level,Dry,Traffic Signals,Through Roadway,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",Maryland (State) Route,New Hampshire Ave
853,Montgomery,Injury Crash,2025-04-24 10:44:00,"1, 4",Driver,Angle,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.03936692,-77.05438598,No,"Level, Uphill",Dry,Other,Crossover-Related,Non-Intersection,Straight,No Defects,Not Divided,Maryland (State) Route,Veirs Mill Rd
854,Montgomery,Property Damage Crash,2025-04-24 10:30:00,2,Unknown,Front To Rear,Clear,Daylight,Unknown,Motor Vehicle In Transport,39.08688456,-76.95842864,Unknown,Level,Dry,Traffic Signals,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,County Route,Briggs Chaney Rd
855,Montgomery,Property Damage Crash,2025-04-24 10:00:00,1,Driver,Front To Rear,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.15412433,-77.25372817,No,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,Maryland (State) Route,Clopper Rd
856,Montgomery,Injury Crash,2025-04-24 09:50:00,3,Driver,Rear To Rear,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,38.97534683,-77.12583517,No,Uphill,Dry,No/Unknown/Miscellaneous Control,Through Roadway,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",Maryland (State) Route,River Rd
857,Montgomery,Injury Crash,2025-04-24 06:15:00,1,Driver,Single Vehicle,Clear,Dawn,Not Suspected,Culvert,39.14722951,-77.42877442,No,Downhill,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,County Route,Whites Ferry Rd
858,Montgomery,Injury Crash,2025-04-24 04:26:00,2,Unknown,Single Vehicle,Clear,Dark - Lighted,Alcohol,Overturn/Rollover,39.05290762,-77.02465593,No,Uphill,Dry,No/Unknown/Miscellaneous Control,Through Roadway,Non-Intersection,Straight,No Defects,Not Divided,County Route,Kemp Mill Rd
859,Montgomery,Property Damage Crash,2025-04-24 03:10:00,3,Driver,Angle,Clear,Dark - Lighted,Not Suspected,Motor Vehicle In Transport,39.18261143,-77.27420998,No,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",County Route,Father Hurley Blvd
860,Rockville,Property Damage Crash,2025-04-23 22:46:00,0,Driver,"Sideswipe, Same Direction",Clear,Dark - Not Lighted,Not Suspected,Motor Vehicle In Transport,39.095011,-77.1731419,No,"Level, Uphill",Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,Municipality Route,Crocus Dr
861,Montgomery,Injury Crash,2025-04-23 20:18:00,"3, 4",Driver,Angle,Clear,Dark - Lighted,Not Suspected,Motor Vehicle In Transport,39.04696335,-77.11269145,No,Level,Dry,Other,Intersection Or Related,Perpendicular,Straight,No Defects,"Divided, Raised Median (Curbed)",County Route,Marinelli Rd (Eb/L)
862,Gaithersburg,Property Damage Crash,2025-04-23 20:03:00,1,Unknown,Front To Rear,Clear,Dark - Lighted,Unknown,Motor Vehicle In Transport,39.11443617,-77.20574751,Unknown,Level,Dry,Signs,Intersection Or Related,Perpendicular,Straight,No Defects,Not Divided,Local Route,Ellington Blvd
863,Montgomery,Property Damage Crash,2025-04-23 19:30:00,5,Unknown,Front To Rear,Clear,Daylight,Unknown,Motor Vehicle In Transport,39.10940206,-77.07631591,Unknown,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",Maryland (State) Route,Norbeck Rd
865,Montgomery,Property Damage Crash,2025-04-23 18:37:00,2,Unknown,Front To Rear,Clear,Daylight,Unknown,Motor Vehicle In Transport,38.99117861,-77.06876997,Unknown,Level,Dry,No/Unknown/Miscellaneous Control,Through Roadway,Non-Intersection,Curve Right,No Defects,Not Divided,Maryland (State) Route,East West Hwy
866,Montgomery,Property Damage Crash,2025-04-23 18:30:00,3,Driver,Front To Rear,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.047474,-76.9856425,No,Level,Dry,Traffic Signals,Non-Junction,Non-Intersection,Straight,No Defects,"Divided, Flush Median (Greater Than 4Ft Wide)",Us (State),Columbia Pike (Sb/L)
867,Montgomery,Property Damage Crash,2025-04-23 17:57:00,"3, 4",Driver,Rear To Side,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.17841762,-77.23837938,No,Level,Dry,Traffic Signals,Intersection Or Related,Perpendicular,Straight,No Defects,"Divided, Raised Median (Curbed)",Maryland (State) Route,Frederick Rd
868,Montgomery,Property Damage Crash,2025-04-23 17:29:00,1,Driver,Angle,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.01034826,-77.04722276,No,Level,Dry,Other,Intersection Or Related,Perpendicular,Straight,No Defects,Not Divided,County Route,Seminary Rd
869,Montgomery,Property Damage Crash,2025-04-23 17:29:00,1,Driver,Front To Rear,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.08541,-76.95072817,No,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,"Divided, Flush Median (Greater Than 4Ft Wide)",County Route,Old Columbia Pike
870,Montgomery,Injury Crash,2025-04-23 16:57:00,"2, 3, 4",Driver,Angle,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.10646073,-77.15226966,No,Level,Dry,Traffic Signals,Intersection Or Related,Perpendicular,Straight,No Defects,"Divided, Flush Median (Greater Than 4Ft Wide), Divided, Raised Median (Curbed), Not Divided, With A Continuous Left-Turn Lane",County Route,E Gude Dr
871,Montgomery,Property Damage Crash,2025-04-23 16:38:00,4,Driver,Front To Rear,Clear,Daylight,Unknown,Motor Vehicle In Transport,39.04442648,-76.99248027,Unknown,Level,Dry,No/Unknown/Miscellaneous Control,Acceleration/Deceleration Lane,Non-Intersection,Curve Right,No Defects,"Divided, Raised Median (Curbed)",Ramp,Ramp 1 Fr Md 650 Nb To Ramp 8 (To Us 29)
873,Rockville,Property Damage Crash,2025-04-23 16:20:00,1,Unknown,Front To Rear,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.09169956,-77.15669652,No,Level,Dry,Signs,Intersection Or Related,Perpendicular,Straight,No Defects,Not Divided,Municipality Route,Martins La
874,Montgomery,Injury Crash,2025-04-23 16:12:00,1,Driver,Single Vehicle,Clear,Daylight,Not Suspected,Guardrail Face,39.23569213,-77.18071753,No,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,Maryland (State) Route,Undisclosed
875,Montgomery,Property Damage Crash,2025-04-23 15:48:00,"2, 6",Driver,Angle,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.16490017,-77.22756017,No,Level,Dry,No/Unknown/Miscellaneous Control,Crossover-Related,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed), Not Divided",Maryland (State) Route,Frederick Rd (Sb/L)
876,Montgomery,Property Damage Crash,2025-04-23 14:53:00,2,Driver,"Sideswipe, Same Direction",Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.04488208,-77.18020095,No,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,County Route,Tuckerman La
877,Montgomery,Property Damage Crash,2025-04-23 14:45:00,3,Driver,Front To Rear,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.18409017,-77.2108235,No,Level,Dry,Other,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,County Route,Undisclosed
879,Takoma,Property Damage Crash,2025-04-23 13:41:00,2,Unknown,Single Vehicle,Clear,Daylight,Not Suspected,"Other Fixed Object (Wall, Building, Tunnel, Etc.)",38.9810445,-77.00296496,No,Uphill,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Curve Left,No Defects,"Divided, Depressed Median",Maryland (State) Route,Undisclosed
880,Mcpark,Property Damage Crash,2025-04-23 13:35:00,3,Driver,Front To Rear,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.10959484,-77.07590927,No,Level,Dry,Traffic Signals,Non-Junction,Non-Intersection,"Curve Right, Straight",No Defects,"Divided, Raised Median (Curbed)",Maryland (State) Route,Norbeck Rd (Wb/L)
881,Montgomery,Property Damage Crash,2025-04-23 13:23:00,4,Driver,Angle,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.17685667,-77.27015017,No,"Downhill, Level",Dry,Traffic Signals,Intersection Or Related,Perpendicular,Straight,No Defects,"Divided, Raised Median (Curbed)",County Route,Wisteria Dr
882,Montgomery,Property Damage Crash,2025-04-23 12:57:00,1,Driver,"Sideswipe, Same Direction",Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.04543369,-77.17231361,No,Level,Dry,No/Unknown/Miscellaneous Control,Driveway Access Or Related,Non-Intersection,Straight,No Defects,Not Divided,County Route,Victory La
883,Gaithersburg,Injury Crash,2025-04-23 12:21:00,5,Driver,Front To Rear,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.12839594,-77.23734682,No,Level,Dry,Traffic Signals,Intersection Or Related,Perpendicular,Straight,No Defects,"Divided, Flush Median (Greater Than 4Ft Wide)",Maryland (State) Route,Great Seneca Hwy
885,Montgomery,Injury Crash,2025-04-23 10:00:00,2,Driver,"Sideswipe, Opposite Direction",Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.14996236,-77.06413026,No,"Downhill, Uphill",Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,County Route,Spartan Rd
886,Montgomery,Property Damage Crash,2025-04-23 09:25:00,2,Unknown,Front To Rear,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,38.99087583,-77.155123,No,Downhill,Dry,Traffic Signals,Non-Junction,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",Maryland (State) Route,River Rd (Wb/L)
887,Montgomery,Injury Crash,2025-04-23 09:01:00,2,Nonmotorist,Single Vehicle,Clear,Daylight,Not Suspected,Other Non-Fixed Object,39.19760395,-77.2396623,No,Level,Dry,No/Unknown/Miscellaneous Control,Intersection Or Related,Angled/Skewed,Straight,No Defects,Not Divided,County Route,Scottsbury Dr
888,Montgomery,Injury Crash,2025-04-23 08:43:00,3,Driver,Front To Rear,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.02101468,-77.04477848,No,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,"Divided, Depressed Median",Maryland (State) Route,Georgia Ave (Sb/L)
889,Montgomery,Injury Crash,2025-04-23 07:49:00,2,Driver,Single Vehicle,Clear,Daylight,Not Suspected,Pedestrian,39.07427954,-76.93995673,No,Level,Dry,Signs,Entrance/Exit Ramp Or Related,Non-Intersection,Straight,No Defects,Not Divided,Ramp,Ramp 2 Fr Md 200 Wb To Briggs Chaney Rd
890,Montgomery,Property Damage Crash,2025-04-23 07:36:00,"1, 3",Driver,Angle,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.16347966,-77.2846633,No,"Downhill, Level",Dry,Other,Intersection Or Related,Perpendicular,Straight,No Defects,"Divided, Raised Median (Curbed), Not Divided",Maryland (State) Route,Clopper Rd
891,Montgomery,Injury Crash,2025-04-23 07:35:00,2,Driver,Single Vehicle,Clear,Daylight,Not Suspected,Pedestrian,39.18695983,-77.19826417,No,Level,Dry,Human/Pedestrian Control,Intersection Or Related,Perpendicular,Straight,No Defects,"Divided, Flush Median (Greater Than 4Ft Wide)",County Route,Hob Hill Way
892,Montgomery,Property Damage Crash,2025-04-23 07:00:00,2,Driver,Rear To Side,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.04116883,-76.98579748,No,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,County Route,Undisclosed
893,Montgomery,Property Damage Crash,2025-04-22 21:17:00,1,Unknown,Single Vehicle,Clear,Dark - Lighted,Not Suspected,Curb,39.03144555,-77.23291957,No,Level,Dry,Traffic Signals,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,Maryland (State) Route,Undisclosed
894,Montgomery,Property Damage Crash,2025-04-22 20:55:00,1,Unknown,"Sideswipe, Same Direction",Clear,Dark - Lighted,Not Suspected,Motor Vehicle In Transport,39.07513671,-77.09049786,No,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,County Route,Keating St
896,Rockville,Property Damage Crash,2025-04-22 20:36:00,"1, 2",Unknown,Angle,Clear,Dark - Lighted,Not Suspected,Motor Vehicle In Transport,39.07544117,-77.11726113,No,Level,Dry,No/Unknown/Miscellaneous Control,Intersection Or Related,Perpendicular,Straight,No Defects,Not Divided,Crossover,Undisclosed
897,Montgomery,Property Damage Crash,2025-04-22 18:30:00,3,Driver,Angle,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.02507817,-77.14889667,No,"Downhill, Uphill",Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,"Not Divided, With A Continuous Left-Turn Lane",County Route,Westlake Dr
898,Montgomery,Injury Crash,2025-04-22 17:28:00,1,Driver,"Sideswipe, Same Direction",Clear,Daylight,Not Suspected,Motor Vehicle In Transport,38.97706787,-77.08450236,Unknown,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,"Divided, Flush Median (Greater Than 4Ft Wide)",Municipality Route,Maple Ave
899,Montgomery,Injury Crash,2025-04-22 17:12:00,1,Driver,Angle,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.26132167,-77.22222167,No,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,Maryland (State) Route,Ridge Rd
900,Montgomery,Property Damage Crash,2025-04-22 16:47:00,2,Driver,Front To Front,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.10319436,-77.00352657,No,Level,Dry,No/Unknown/Miscellaneous Control,Through Roadway,Non-Intersection,Straight,No Defects,Not Divided,Maryland (State) Route,New Hampshire Ave
901,Montgomery,Injury Crash,2025-04-22 16:29:00,4,Unknown,Front To Rear,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.03138127,-77.12591968,No,Level,Dry,Signs,Entrance/Exit Ramp Or Related,Non-Intersection,Curve Right,No Defects,"Divided, Raised Median (Curbed)",Ramp,Ramp 2 Fr Is 270 Wb To Md 187 Nb
902,Montgomery,Property Damage Crash,2025-04-22 15:27:00,6,Driver,Angle,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.00531902,-77.0228607,No,Level,Dry,Traffic Signals,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,Us (State),Undisclosed
903,Gaithersburg,Injury Crash,2025-04-22 14:53:00,2,Unknown,Front To Rear,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.13653145,-77.20558059,No,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,"Divided, Flush Median (Greater Than 4Ft Wide)",County Route,Muddy Branch Rd
904,Montgomery,Injury Crash,2025-04-22 14:13:00,3,Driver,Angle,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.01656017,-77.1196595,No,Level,Dry,Traffic Signals,Intersection Or Related,Perpendicular,Straight,No Defects,"Divided, Raised Median (Curbed), Not Divided",Maryland (State) Route,Old Georgetown Rd (Sb/L)
905,Montgomery,Property Damage Crash,2025-04-22 10:36:00,1,Unknown,"Sideswipe, Opposite Direction",Clear,Daylight,Not Suspected,Motor Vehicle In Transport,38.9997007,-77.01046693,No,"Downhill, Uphill",Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,"Curve Left, Curve Right",No Defects,Not Divided,Maryland (State) Route,Undisclosed
906,Takoma,Property Damage Crash,2025-04-22 09:45:00,2,Unknown,Front To Front,Clear,Daylight,Unknown,Motor Vehicle In Transport,38.99055549,-76.98964357,Unknown,Level,Dry,Traffic Signals,Intersection Or Related,Perpendicular,Straight,No Defects,"Divided, Flush Median (Greater Than 4Ft Wide), Divided, Raised Median (Curbed)",Crossover,Undisclosed
907,Montgomery,Property Damage Crash,2025-04-22 09:45:00,"2, 3",Driver,Angle,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,38.99970816,-76.99442629,No,"Downhill, Uphill",Dry,No/Unknown/Miscellaneous Control,Crossover-Related,Non-Intersection,Straight,No Defects,Not Divided,Maryland (State) Route,Piney Branch Rd
908,Montgomery,Injury Crash,2025-04-22 09:06:00,"1, 3",Driver,Angle,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.04655505,-76.98693989,No,Level,Dry,Traffic Signals,Intersection Or Related,Perpendicular,Straight,No Defects,"Divided, Raised Median (Curbed)",Us (State),Columbia Pike
